sales_amount,zip_code
26805228.0,60619
20964145.5,60628
20036299.5,60651
19844371.5,60639
19333370.0,60634
19043721.5,60618
19019133.5,60647
18733402.5,60617
18703401.5,60620
18154487.0,60453
16492540.0,62702
16346843.0,60608
16291464.5,60609
15866073.0,60636
15251913.5,60630
14846873.5,60629
14738780.0,60638
14598572.5,60632
14581475.5,60804
14462937.5,60085
14444654.0,60622
14404116.5,60616
14009186.5,60641
13682664.5,60435
13551689.0,60623
13117719.5,60649
12900514.5,60409
12615651.5,60402
12540764.5,60016
12250183.0,60714
12070335.0,60643
11583532.5,60640
11422776.5,60411
11371844.5,60477
11143655.5,60707
11075816.0,60624
11047167.0,60706
10901270.5,60302
10799379.0,60652
10561208.5,60621
10205977.0,60426
10156520.5,60606
10014832.0,60601
9977771.0,60625
9952605.0,60101
9924831.5,60644
9889088.5,60612
9641121.0,60610
9589769.0,60525
9402054.0,60018
9294196.5,61111
9202411.5,60459
9127975.5,60805
8916112.0,60827
8791503.5,62040
8680458.0,60440
8493122.0,60803
8167691.5,60181
8104599.5,60438
8090704.5,60148
8085768.5,60106
7801050.0,60053
7795360.5,60073
7727837.5,60445
7668382.0,60076
7652732.5,62703
7619655.0,60126
7605573.0,60056
7592472.5,60637
7558157.0,61032
7537714.5,60154
7487923.0,60419
7483956.0,60615
7281214.0,60007
7242088.5,60446
7123271.5,61604
7047216.0,60188
6986803.0,61108
6944377.0,60123
6843683.0,60104
6790782.0,60660
6775563.0,62521
6772329.5,60441
6743138.5,60614
6739543.5,60130
6681417.5,60120
6671076.5,60160
6651627.5,60611
6600167.5,60087
6587319.0,62704
6566972.5,60194
6536562.5,60653
6532764.0,60107
6463146.0,61701
6408235.0,60901
6389625.0,60060
6365861.5,60656
6337912.0,60176
6274749.0,60659
6258835.0,61832
6237219.0,60005
6219384.5,60604
6127934.5,60050
6124368.5,60164
6099955.5,60626
6054878.5,61109
6002595.0,61401
5992625.0,60607
5989476.5,62201
5972249.5,62526
5966708.5,60102
5958358.0,60517
5874101.5,60452
5866622.0,60133
5821665.5,60559
5777044.0,61008
5773347.0,61554
5773163.0,60504
5772446.0,60067
5740234.5,60089
5737388.0,61103
5721015.0,60602
5672414.5,60004
5654627.0,61611
5644917.5,60613
5566976.0,60131
5507864.5,60202
5486014.5,60064
5485580.0,60506
5412282.5,60505
5403989.5,60031
5399706.5,60139
5336674.0,62234
5326709.0,60605
5297405.0,60462
5291333.5,60423
5284307.0,62301
5274932.0,60473
5267536.5,60187
5231516.0,60645
5223764.0,60655
5174385.5,60153
5141841.0,60099
5138196.5,60455
5113202.5,60002
5106531.5,60014
5102500.5,61104
5067760.5,60657
5053076.5,60603
5013145.5,61821
4995893.5,60174
4984236.5,61021
4941368.0,60466
4917590.5,61101
4914376.5,60191
4908594.0,61265
4904075.5,61350
4868862.0,60077
4779805.0,60515
4775826.5,60561
4712938.0,60478
4705786.0,60172
4686308.5,60115
4672574.5,60108
4661211.5,60068
4637729.5,60193
4611931.5,60103
4609948.5,60171
4558178.0,60431
4553412.0,60030
4533371.0,60546
4523352.0,62864
4518703.5,60448
4510481.5,60025
4439401.5,61080
4437456.0,60062
4437169.5,62206
4434304.0,60451
4426906.0,60425
4424251.5,61102
4411532.0,60543
4408559.5,62650
4393168.0,61201
4365660.0,62002
4338108.5,60527
4261404.0,60406
4231494.5,60074
4176248.5,60463
4154226.5,60457
4078584.0,60047
4046979.5,60458
4044095.5,60712
4027326.0,61704
3971933.5,62269
3968000.0,62208
3966942.5,60443
3932009.5,60020
3921897.5,62226
3902747.0,60430
3851622.5,60491
3850800.0,60177
3808124.5,61761
3798191.0,60646
3783443.0,60110
3765195.0,61364
3749775.5,60098
3746948.0,60661
3701053.0,60046
3698372.5,60185
3688077.5,62401
3631858.5,62221
3623447.5,60118
3616739.5,60008
3558157.5,61820
3538107.5,60563
3519361.5,60513
3498878.0,60538
3434401.5,60137
3399267.5,60178
3380257.0,60532
3371171.0,62223
3365407.5,61354
3352309.0,60501
3303789.0,60540
3301234.5,60415
3291269.0,60450
3269076.0,62236
3251143.0,60035
3250825.0,61081
3198195.5,60070
3174309.0,62801
3146466.0,60429
3132787.0,60633
3125052.0,61938
3108299.0,61615
3094355.5,60469
3090541.5,62959
3082478.0,60544
3072696.5,60432
3058941.0,60195
2938066.0,60155
2927268.0,60510
2901679.5,62656
2862248.5,60162
2858349.0,61107
2839947.5,60534
2830232.0,60542
2824467.5,60915
2815314.5,60465
2779516.0,60433
2772274.5,60201
2762143.0,60090
2755397.5,61244
2737181.5,61614
2727716.5,60305
2703925.5,60142
2694530.5,62025
2682667.5,60439
2676534.5,60173
2676181.0,60914
2652637.5,60048
2652564.0,62568
2642698.0,60015
2636412.5,60482
2611250.5,60666
2581535.0,60061
2577622.0,62522
2568910.5,61603
2566911.5,60475
2558884.5,62220
2543929.0,60304
2527309.5,60083
2520968.5,60417
2505756.0,61071
2503120.5,61073
2478462.0,61068
2458211.0,60134
2449917.0,60564
2436006.0,60013
2435655.5,62205
2429102.5,60096
2395246.0,60436
2381650.0,61866
2363664.0,61443
2356606.5,62060
2355580.0,61520
2326020.5,61801
2319538.5,60143
2315816.0,61802
2274491.5,61764
2198337.0,60516
2196849.5,60447
2191583.5,60521
2178521.5,60481
2176448.0,60084
2173965.0,62035
2152750.5,60555
2132021.5,61607
2131456.5,60163
2122336.5,61114
2086357.0,61356
2063147.5,60033
2060048.0,60654
2040636.5,62095
2018167.5,60416
1999996.5,60560
1999733.5,61115
1987104.5,60449
1941521.5,62232
1935561.0,61455
1928206.5,61264
1910284.5,60631
1872426.5,60586
1864080.5,60169
1838259.5,61944
1819248.5,60464
1819037.0,60565
1816576.0,60091
1795103.0,60165
1787020.0,60051
1786300.5,62901
1771230.5,60950
1749743.0,62966
1715134.5,61342
1697892.5,62948
1683045.5,61920
1676607.0,62881
1641518.0,60156
1639598.0,61301
1631982.0,61462
1615468.0,62471
1605885.0,62450
1584804.0,62249
1568958.5,60548
1559678.5,62056
1556558.0,62298
1553396.5,60410
1537668.5,62052
1527056.0,61727
1517744.5,61016
1512620.5,62294
1508848.0,61254
1503319.5,60042
1497230.0,62812
1486717.0,60467
1479274.5,60545
1471959.5,62204
1436134.0,60071
1430312.5,61282
1423358.0,60044
1408622.0,62618
1408006.5,62960
1406716.0,60403
1393278.5,61362
1377518.0,61523
1372989.0,61610
1364669.0,61616
1364655.5,62523
1362242.0,61571
1357496.0,60010
1345063.5,60480
1339154.5,61853
1325918.0,62837
1323989.0,62832
1317192.5,62946
1300045.5,61550
1299777.5,62010
1295484.5,62024
1284460.5,62896
1282552.0,60152
1277323.0,61061
1274348.0,60041
1270852.0,62557
1268209.0,60554
1259784.0,62258
1246642.0,61605
1239139.5,60140
1227785.0,60471
1213740.5,60190
1202126.5,60942
1200515.5,60526
1198284.0,62363
1170835.5,61010
1152255.5,60461
1149636.5,62207
1133648.0,60954
1125594.5,60040
1114260.0,60502
1111555.5,60408
1100415.0,60420
1088948.5,61874
1085797.0,60585
1068577.5,62263
1061482.0,60097
1056332.5,61953
1049577.0,62906
1042981.5,62863
1037937.0,62049
1011294.0,62629
1004167.5,60970
1002754.5,62565
1002462.5,61822
999694.5,62246
996954.0,62230
993664.5,61341
987432.0,61241
967295.5,62454
961789.0,62305
954433.5,62203
949144.5,62233
945357.0,60476
943849.5,60468
938376.0,62034
936688.0,62243
890462.0,62274
887615.0,62914
878308.5,60957
873839.0,62439
868069.5,61074
856227.0,62644
845427.0,62254
845392.5,60045
836168.0,61072
834432.5,62549
829134.5,62441
828421.5,60021
811989.0,60093
810162.5,62839
799589.5,62821
795249.0,60135
785804.5,62918
774419.0,61036
770983.5,61088
767147.0,62626
759633.0,62286
755435.5,62712
754155.5,62707
740089.0,61054
739158.0,61065
735588.0,60456
727576.0,61025
725457.5,60119
718611.0,61360
717430.0,60422
716241.0,60401
709984.0,62844
700675.0,60442
693129.5,61856
686215.5,62681
665430.0,62033
664614.0,62231
658366.5,62278
655810.5,62353
653569.0,60069
652171.5,60936
644743.5,61310
637581.5,62088
626015.5,61270
621791.0,61602
618194.0,61951
613336.0,61738
599437.0,62995
598580.0,61085
596587.5,10007
595246.0,62341
594092.5,62924
589447.5,61348
589398.0,62711
586045.0,61252
577307.5,60472
576293.5,62690
572912.5,62930
570287.5,61883
566599.5,61910
561153.0,61548
557969.5,62448
553284.5,62265
550690.0,61410
550478.5,62675
544777.0,61530
538917.5,62951
538545.5,61858
533366.5,60551
530594.0,62420
528066.5,61739
527491.5,60552
526777.5,61834
525803.0,62561
523757.5,61752
514849.0,61373
512140.5,61377
510331.0,60938
510106.5,60112
503796.5,62902
499731.0,61326
488615.5,61422
488162.0,62822
484641.5,62260
484106.0,61231
482751.5,62092
475064.5,62859
471804.5,62239
463533.0,61540
463462.0,61084
459602.0,60136
459567.0,62009
459103.5,62257
452680.5,61425
451818.5,61546
451317.0,62984
447670.0,61434
447458.0,62048
446654.5,62016
445202.5,62312
445134.5,61240
441562.0,62694
441496.5,62684
438521.5,60558
438295.5,61525
438220.5,60490
436792.0,60424
435751.5,60520
435367.0,62411
434267.0,62288
429869.5,62884
429365.5,62701
428737.5,62428
426798.5,61063
425287.0,60081
422459.0,60910
418247.5,62293
409552.5,62271
408739.5,60514
407805.0,62615
403328.0,60541
402287.0,61531
401610.0,61448
400456.0,61369
399133.5,60484
398578.5,60421
398394.5,60301
396432.5,62014
394776.0,61846
394773.0,60192
392306.0,61843
391157.0,62012
389148.5,62964
387957.0,61745
384071.5,61112
378806.5,61024
377041.5,60146
374221.0,60940
373793.5,60487
372899.5,60550
372292.0,61956
370080.5,62640
369422.5,62458
361314.0,60518
356564.0,61542
356080.5,61278
352764.0,62237
351700.0,62321
350939.0,60124
349894.5,61880
349578.5,61873
348917.5,61257
348141.5,62693
346796.5,62664
343648.0,62535
338514.0,62075
337237.0,60428
336850.0,61726
334520.0,61547
332114.5,60964
329884.5,62080
329575.5,62467
328118.0,61760
324732.5,60523
323974.5,62447
317773.5,61537
317094.0,61606
316273.5,62082
314591.0,62563
312700.5,62979
309976.5,62882
308333.0,62264
307606.5,62018
307497.0,62540
306481.0,62613
306111.0,61048
305843.5,61501
303240.5,61064
301370.0,60460
297574.5,60026
294422.0,62285
293097.5,61842
289451.5,62917
285780.5,61756
285219.5,62069
284472.5,61030
283914.5,62665
283802.5,62903
281149.0,62806
281045.5,62062
278725.0,61536
277468.0,62531
273623.0,62691
273339.0,60966
270251.5,62037
267616.5,61330
265839.5,60444
265743.5,61052
265522.5,62046
265237.0,61559
263722.5,62846
262229.0,61013
261240.0,62449
256031.0,62058
254557.0,61833
251767.0,61277
246808.5,62320
245253.0,62347
245120.0,61813
244884.0,62510
243923.5,62558
242272.5,62692
240846.5,61087
240833.0,61864
238525.5,61019
236276.5,61878
235285.5,61242
234541.5,62513
231029.0,60927
229858.0,61469
229137.5,62533
229118.0,61012
228296.0,61367
228177.5,60109
226682.5,61849
224792.0,62340
224117.0,60941
222315.0,61723
222095.5,61753
221193.5,61020
217756.5,62871
217280.5,62326
216866.5,62366
216854.0,62938
214521.0,61078
213471.5,62544
212777.0,61053
209811.0,61619
208614.0,61568
208413.0,60948
208073.5,62808
207655.0,62330
206253.5,61777
205256.5,62550
202620.0,60022
202342.5,62548
200567.5,62670
198568.5,60535
198523.0,61911
198207.5,62939
196938.0,61742
196787.5,62282
196092.0,62677
195903.0,61232
194447.5,61486
194268.0,61273
194249.0,61051
193447.5,61285
192700.0,61847
192440.5,61818
192327.5,62573
191900.5,62621
191145.5,62838
190283.5,62999
190122.0,62567
188300.0,61517
188146.0,62970
187756.5,62061
187520.5,61561
186698.0,60404
186420.5,61450
186357.5,62539
186253.0,61239
185869.0,60150
185540.0,61062
185398.5,62931
185280.0,62530
183199.0,61238
183183.5,62830
182625.0,62468
182530.0,61046
182178.0,62875
181657.5,62245
179728.0,62087
179506.5,61529
178731.5,62560
178626.5,62858
177924.0,61913
176719.0,60921
176149.5,61234
174661.5,61734
174230.0,60151
173917.0,61427
172907.0,61865
172582.0,61060
172096.5,62554
171278.5,60145
170679.0,61957
169444.5,61732
168803.0,60034
166535.0,61490
165973.0,62761
165692.5,60203
164599.5,60012
163619.5,60530
162685.5,61376
162432.0,62376
160110.5,62417
159914.0,61413
159828.0,61491
159634.5,61329
154910.5,62969
153082.5,62571
152807.5,61759
151935.0,61483
151790.0,60963
151739.0,62895
151283.5,61322
150472.5,62824
150206.5,60959
149971.0,62823
149843.0,61370
149821.5,61859
149431.0,62957
146894.5,62869
146752.0,62351
146695.5,60511
146463.5,61937
146391.5,61728
146049.0,62854
145392.5,62898
144611.5,61465
144267.5,61256
144024.5,61006
143221.0,61817
142715.0,62992
142544.5,61415
142229.5,60955
141805.5,62044
141536.5,60113
140824.5,62952
139593.0,61272
138934.0,62926
138847.0,61260
138390.0,62611
137011.0,62534
135839.0,61754
134741.0,61418
134686.5,62920
134257.5,62292
134006.0,60474
133876.5,62063
133257.5,61028
133176.5,61912
133097.5,62988
130764.0,62870
129281.0,62053
127889.0,62932
127477.0,61942
127048.5,61528
126848.0,61230
126446.0,62933
126360.5,61353
126068.0,62442
125872.0,62262
125108.0,61325
124972.5,62463
123394.0,60556
123227.5,62426
123208.0,62827
122118.5,62888
121905.5,62424
121790.0,61368
121064.5,61755
121024.5,62281
119352.0,61361
118742.0,61570
118734.0,62451
118621.0,61770
117945.0,61748
117806.0,62974
117773.5,62476
117754.5,62047
117645.5,62890
117438.0,61263
115422.5,61031
115281.5,62219
114364.0,62422
113454.0,60407
113377.0,60944
112177.5,61047
111801.5,62275
111704.0,62668
110981.0,62983
110784.5,61741
110500.0,61725
110478.0,62284
110290.5,61018
109807.0,61563
109592.5,61929
108576.5,61552
108214.0,62379
106694.5,61914
106632.0,61876
105582.5,61375
105139.5,62642
105102.5,62627
104898.5,60180
104771.5,62097
104478.0,61250
102488.5,62215
101562.5,61534
99801.0,61924
98999.0,61041
98097.5,61488
98094.0,61943
98086.5,62445
97085.0,62093
96082.0,62217
95921.0,61776
95673.5,62253
95663.5,61261
95006.0,62017
94649.5,61275
93767.5,61854
93704.5,62459
92253.5,62638
92083.0,61319
92058.0,62360
91688.0,61317
91090.0,61533
90965.5,60924
89808.5,61535
89800.5,61440
88890.0,61432
88412.5,62907
88339.5,61421
88264.0,61744
88188.0,62685
88163.0,62942
86776.5,62849
86533.0,61438
86271.5,61235
85368.5,62216
85355.0,61933
85219.0,62997
85009.0,62546
83988.0,61412
83768.5,62501
83624.5,62316
83537.0,61740
82909.5,61255
82840.5,60288
82325.5,61877
82292.5,62001
81090.5,62311
80612.0,61001
80463.0,62682
80259.0,62674
78224.5,60928
77906.0,61473
77155.5,61480
76819.0,62433
76738.5,60953
76579.5,62354
76351.5,60531
75629.5,62466
74076.0,62915
73470.0,62922
72821.0,61564
71680.0,62410
68229.0,61769
68003.0,61839
67348.5,61870
67086.0,62218
66529.0,62349
66314.5,62628
65463.0,62361
65029.5,61420
64406.5,62367
64370.5,61314
63958.0,61281
62858.5,61283
62510.5,62820
62212.5,61414
61447.0,61433
58110.0,61863
57376.5,61379
57317.0,62612
57298.5,62545
56249.0,61284
55712.5,61841
54671.5,61089
54623.0,61747
54051.5,62051
53611.5,61279
53420.0,60929
52737.5,61233
52344.0,62910
51029.0,62094
50573.5,61489
50057.0,60945
48610.0,61442
48480.5,60960
47255.5,62295
46501.0,61733
45845.5,63832
45702.0,62584
44100.0,62465
43665.5,62277
41692.0,62378
40011.5,61327
39405.0,62250
39106.0,60157
38821.0,62916
37996.0,60911
35191.5,60503
33262.0,61075
32061.5,62477
30737.0,62013
29906.5,61862
27155.5,60918
26144.5,62362
26130.0,62182
24942.0,61773
24745.0,62031
23947.0,62289
23314.5,62899
20590.0,62473
20121.5,62006
18457.5,62623
18226.0,60952
18050.0,62553
18024.0,62524
13018.0,60962
12168.0,61516
8207.0,61077
5074.0,62816
4146.5,62101
3566.0,61736
2820.0,61705
2455.0,62356
2090.5,61349
1075.0,60001
1026.0,61652
